,Consultancy Jobs,Customer Services Jobs,Domestic help & Cleaning Jobs,"Energy, Oil & Gas Jobs",Engineering Jobs,Graduate Jobs,HR & Recruitment Jobs,Healthcare & Nursing Jobs,Hospitality & Catering Jobs,IT Jobs,Logistics & Warehouse Jobs,Manufacturing Jobs,Other/General Jobs,"PR, Advertising & Marketing Jobs",Property Jobs,Retail Jobs,Scientific & QA Jobs,Teaching Jobs,Trade & Construction Jobs,Travel Jobs,Unknown
2018-01-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-02-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-03-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-04-30,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2018-05-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2018-06-30,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-07-31,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0
2018-08-31,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3
2018-09-30,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,0,0,1
2018-10-31,1,0,0,99,71,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,3
2018-11-30,1,0,0,732,115,0,0,0,4,0,0,0,1,5,0,10,0,6,0,1,21
2018-12-31,2,1,0,1,2,5,3,2,0,4,9,2,4,41,3,8,0,7,1,0,14
