,Consultancy Jobs,Creative & Design Jobs,Customer Services Jobs,Domestic help & Cleaning Jobs,"Energy, Oil & Gas Jobs",Engineering Jobs,HR & Recruitment Jobs,Healthcare & Nursing Jobs,Hospitality & Catering Jobs,IT Jobs,Legal Jobs,Logistics & Warehouse Jobs,Maintenance Jobs,Manufacturing Jobs,Other/General Jobs,"PR, Advertising & Marketing Jobs",Property Jobs,Retail Jobs,Sales Jobs,Scientific & QA Jobs,Social work Jobs,Teaching Jobs,Trade & Construction Jobs,Travel Jobs,Unknown
2018-01-31,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
2018-02-28,3,0,0,0,0,0,0,0,0,4,0,7,0,0,1,0,0,0,0,0,0,0,0,0,9
2018-03-31,2,0,0,0,0,0,0,1,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6
2018-04-30,5,0,0,0,0,0,0,1,0,3,0,6,0,0,1,0,0,0,0,0,0,0,0,0,21
2018-05-31,3,0,0,0,0,1,0,5,0,7,0,3,0,0,0,1,0,0,0,0,0,0,0,0,9
2018-06-30,12,0,0,2,0,0,0,7,0,35,0,5,0,0,1,0,0,0,0,0,0,0,0,0,22
2018-07-31,6,0,0,1,0,0,0,4,1,16,0,5,0,0,2,1,0,0,1,0,5,4,0,0,69
2018-08-31,37,4,0,0,0,1,0,25,1,41,0,8,0,0,16,0,0,3,1,0,8,2,0,0,80
2018-09-30,25,2,1,1,0,3,0,327,2,56,2,5,0,0,19,0,1,0,5,0,3,7,0,0,124
2018-10-31,50,37,2,0,10,60,0,25,0,83,4,28,1,2,13,9,1,2,5,90,6,4,0,0,424
2018-11-30,217,16,101,1,51,49,92,328,13,482,20,45,4,26,145,550,5,15,283,61,33,18,1,2,1637
2018-12-31,454,2,21,0,1,12,26,141,15,792,12,29,1,6,47,165,4,4,79,26,24,8,0,2,794
