,Consultancy Jobs,Creative & Design Jobs,Customer Services Jobs,Domestic help & Cleaning Jobs,"Energy, Oil & Gas Jobs",Engineering Jobs,HR & Recruitment Jobs,Healthcare & Nursing Jobs,Hospitality & Catering Jobs,IT Jobs,Legal Jobs,Logistics & Warehouse Jobs,Maintenance Jobs,Manufacturing Jobs,Other/General Jobs,"PR, Advertising & Marketing Jobs",Part time Jobs,Property Jobs,Retail Jobs,Sales Jobs,Scientific & QA Jobs,Social work Jobs,Teaching Jobs,Trade & Construction Jobs,Travel Jobs,Unknown
2018-01-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2018-02-28,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2018-03-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2018-04-30,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,123
2018-05-31,0,0,0,4,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3
2018-06-30,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
2018-07-31,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,27
2018-08-31,0,0,1,0,0,0,0,11,0,1,0,4,0,0,3,2,0,0,6,0,0,2,2,0,0,49
2018-09-30,1,0,1,0,0,0,0,117,0,5,0,2,0,0,4,0,0,0,0,1,0,1,8,0,0,40
2018-10-31,1,12,0,1,0,10,0,6,6,10,0,3,0,0,2,0,0,0,3,13,7,6,4,0,0,113
2018-11-30,13,3,54,2,4,34,25,89,9,48,3,25,0,4,43,61,0,1,5,57,7,13,56,0,4,366
2018-12-31,30,5,69,22,1,57,37,270,218,138,16,61,31,6,192,86,1,21,44,127,15,54,26,48,6,744
